Brand	Variety	Style	Stars
Bowlfull	Beef Flavour Instant Noodle Soup	Cup	0.0
Bowlfull	Vegetable Flavour Instant Noodle Soup	Pack	0.0
Mr. Noodles	Pho Noodle Soup Simulated Beef Flavour	Bowl	0.0
Azami	Kimchee Flavour Noodle Soup	Pack	0.0
Western Family	Beef Flavour Instant Noodles	Pack	0.0
Azami	Kimchee Noodle Soup	Cup	0.0
Campbell's	Hearty Noodles Thai Flavour	Cup	0.0
Campbell's	Hearty Noodles Savoury Beef Flavour	Cup	0.25
Mr. Noodles	Chicken Kimchi Oriental Style Noodles With Soup Base	Bowl	0.5
Noodle Time	Spicy Thai	Bowl	0.5
