Sl.no,Wholesalers,Latitude (N) (in degrees),Longitude (E) (in degrees)
1,Aravind Onion Traders,12.91890000,77.59280000
2,R K Traders,12.91469000,77.57275000
3,Rudreswara Traders,13.10667000,77.44530000
4,Kk Traders,12.96438000,77.58030000
5,RIZ Traders,12.91619000,77.57309000
6,Sri Lakshmi Venkateshwara Prasanna Onion Shop,12.90598000,77.62425000
7,City Market,12.92222000,77.57309000
8,KBB Onion Shop,13.00856000,77.63547000
9,Onion Shop,13.03528000,77.56460000
10,Yeshwanthpur Market,13.02104000,77.55403000
11,M/S. Ayush & Co.,13.02000000,77.54617000
12,Sri Vinayaka Traders,13.10617000,77.44528000
13,Gowri Enterprises,13.02227000,77.54590000
14,A.H Onion Mart,12.96817000,77.66882000
15,Onion Plaza,13.05575000,77.64768000
16,Tap Resources,12.99646000,77.57178000
17,Karnataka Onion Merchant,13.01293000,77.62719000
18,RMC Yard,13.02103000,77.54691000
19,Reliance Fresh Warehouse,13.06330000,77.45550000
20,Godown/Warehouse,12.91120000,77.62880000
21,Warehouse Now,12.98100000,77.63900000
22,Onion wholesale,13.11154019,77.59603566
23,SD onion shop,12.98138251,77.63133846
24,Mahesh Trading Co,13.02594814,77.54446071
25,Vennilla Traders,12.96453897,77.58030580
26,A Babu Traders,12.98008906,77.63087861
27,Wholesale Onion and Potato,13.07996119,77.49722886
28,JAIHIND ONION TRADERS,12.93038187,77.54920982
29,Babu Rao Onion Mandi,13.01872042,77.54434941
30,S.G TRADERS ONION AND VEGETABLE MERCHANT,13.01218693,77.49371108
31,The Seed Trees,12.89306664,77.66055105
32,SLN vegetables,12.87248378,77.65814779
33,B S D Traders Onion,12.84786119,77.64982964
34,Lucky Trading Company,13.02485690,77.56117317
35,Payonidhi agro crops,12.96462223,77.58000944
36,A N onion Traders,13.05148403,77.62923350
37,Rama Veg Store,12.96551110,77.57602046
38,Sri Venkateshwara Vegetables,12.96526593,77.58113808
39,Shireesha Vegetables and Fruits,13.02167206,77.64600157
40,Fresh N Green Supermarket,12.98043744,77.51131861
41,Fresh Gallery,13.03127471,77.66073399
42,Slr Organic Farm,13.04187389,77.51655708
43,Asm Enterprises,12.98640745,77.56139560
44,Anjali Fruits And Vegetables,12.88278922,77.66810076
45,D M Gurunathan Onion Merchant,12.72647413,77.82951631
46,Vrs Vegetables,11.55364395,79.54401100
47,SD ONION SHOP,12.97828792,77.6311668
48,Gowri Enterprises,13.10654525,77.44489814
49,St. Anthony & Francis Traders,13.02223263,77.5552499
50,D.SIDDAPPA TRADERS,13.02164727,77.54640934
51,Farmers Bazaar vegetables and fruits,12.91790121,77.69888772
